"id"|"tweet"|"created_at"
"698873012368515072"|"RT @MSNBC: .@TheRevAl interviewed @BernieSanders on @PoliticsNation. Here's what Sanders said about the #FlintWaterCrisis. https://t.co/WCD…"|"Sun Feb 14 14:14:45 +0000 2016"
"698872905237528576"|"RT @FoxNewsSunday: Coming up on @FoxNewsSunday: Democratic Presidential Candidate @BernieSanders #FNS https://t.co/tDx5vjft2W"|"Sun Feb 14 14:14:19 +0000 2016"
"698872335839801345"|"We must put an end to discriminatory laws and the purging of minority-community names from voting rolls."|"Sun Feb 14 14:12:03 +0000 2016"
"698864971770253313"|"RT @MSNBC: .@BernieSanders:  We need healthcare in the United States for all people.  Tune in to @MSNBC to watch @TheRevAl's interview."|"Sun Feb 14 13:42:48 +0000 2016"
"698859349251219457"|"RT @cascamike: .@ErinBrockovich and @BernieSanders in today’s @freep: #Flint just one example of need to upgrade water supply https://t.co/…"|"Sun Feb 14 13:20:27 +0000 2016"
"698732418421780480"|"As President, I will make public colleges and universities free, and we’re going to pay for it by putting a tax on Wall Street speculation."|"Sun Feb 14 04:56:05 +0000 2016"
"698725510138867712"|"RT @coloradodems: Listening the @BernieSanders at the #CODemDinner! #copolitics https://t.co/Shwkko5X9q"|"Sun Feb 14 04:28:37 +0000 2016"
"698715054359719937"|"We must not accept a nation in which billionaires compete as to the size of their super-yachts, while children in America go hungry."|"Sun Feb 14 03:47:05 +0000 2016"
"698700462392942592"|"GOTV for our campaign in Nevada is under way. I need your help. Sign up for a shift:
https://t.co/wcqLpSqIvW https://t.co/gy8ghl530P"|"Sun Feb 14 02:49:06 +0000 2016"
"698687686631170048"|"RT @greenpeaceusa: .@BernieSanders has signed the pledge to #fixdemocracy. We urge @HillaryClinton to sign too https://t.co/y7Vg8FY306 http…"|"Sun Feb 14 01:58:20 +0000 2016"
"698687322196410368"|"RT @flobots: Nice to meet you @berniesanders https://t.co/RSBAw13d0e"|"Sun Feb 14 01:56:53 +0000 2016"
"698686304666710019"|"This looks to me like Colorado is prepared to make a political revolution. #BernieInDenver
https://t.co/heT73SlCcS"|"Sun Feb 14 01:52:50 +0000 2016"
"698683877276016641"|"$15 and a union - a phrase that won't be heard at tonight’s #GOPDebate. That’s why we organize. https://t.co/g97fqVCdVo"|"Sun Feb 14 01:43:11 +0000 2016"
"698682579730305024"|"RT @ryanjstanton: Bernie Sanders campaign opens Ann Arbor area office https://t.co/hMfUKB3gkX"|"Sun Feb 14 01:38:02 +0000 2016"
"698679149284622336"|"RT @People4Bernie: We're not gonna be divided,we're gonna stand together &amp;we're gonna create a nation we know we can be #BernieInDenver htt…"|"Sun Feb 14 01:24:24 +0000 2016"
"698677385336483840"|"This looks to me like a group of people who are prepared to make a political revolution. #BernieInDenver https://t.co/M9nShUL4Nq"|"Sun Feb 14 01:17:24 +0000 2016"
"698676235392528384"|"RT @NeilRobertson:  Change in this country never came from the top down. It has always come from the bottom up.  #BernieInDenver https://t.…"|"Sun Feb 14 01:12:49 +0000 2016"
"698675554501861376"|"RT @Chicago4Bernie:  I have been criticized for thinking too boldly, too big. 'We have to think small' they say  Crow loudly disagrees #Ber…"|"Sun Feb 14 01:10:07 +0000 2016"
"698675411656388608"|"True freedom does not occur without economic security. #BernieInDenver https://t.co/0YeY9DVetA"|"Sun Feb 14 01:09:33 +0000 2016"
"698673532411056129"|"Higher education is a right. We must fight to ensure that every American can go to college without living in debt."|"Sun Feb 14 01:02:05 +0000 2016"
"698662274878148609"|"RT @WPJohnWagner: Part of the crowd in downtown Denver awaiting the arrival of Bernie Sanders. https://t.co/yO3kiYUTz4"|"Sun Feb 14 00:17:21 +0000 2016"
"698649076691173376"|"My thoughts and prayers are with Justice Scalia's family and his colleagues on the court who mourn his passing. https://t.co/Y51xUMMEId"|"Sat Feb 13 23:24:54 +0000 2016"
"698622704207794178"|" Change does not roll in on the wheels of inevitability, but comes through continuous struggle.  - MLK
https://t.co/OkZbhyhgSI"|"Sat Feb 13 21:40:07 +0000 2016"
"698614143436197888"|"Flashback: Sanders Endorses Jesse Jackson for President in ‘88
https://t.co/ZRPeUr1saH"|"Sat Feb 13 21:06:06 +0000 2016"
"698611633703116800"|"RT @AneesaSM: HAPPENING NOW: @es_snipes is back in SC to fire up our Charleston team before they canvass! #SCforBernie https://t.co/5JHu40W…"|"Sat Feb 13 20:56:07 +0000 2016"
"698609352454725633"|"It is simply unacceptable that 40 percent of African American children are living in poverty."|"Sat Feb 13 20:47:03 +0000 2016"
"698576154526023680"|"Watch Erica Garner's powerful endorsement of our campaign:
https://t.co/FJtoOUFsQJ"|"Sat Feb 13 18:35:08 +0000 2016"
"698574649450344448"|"RT @LucyFlores: @SuVotoEsSuVoz Latino Vote Summit w/ @RepGrijalvaCS speaking on behalf of @BernieSanders #NVCaucus #Bernie2016 https://t.co…"|"Sat Feb 13 18:29:09 +0000 2016"
"698572059950084096"|"This is it. I need you now to make this political revolution a reality. Volunteer for as many shifts as you can. https://t.co/OtDJlNtrLC"|"Sat Feb 13 18:18:52 +0000 2016"
"698569789845803010"|"Tune in #BernieInReno live here: https://t.co/wA1NZ6aTOZ"|"Sat Feb 13 18:09:51 +0000 2016"
"698557665367105536"|"The U.S. pays the highest price in the world for prescription drugs; 1 out of 5 patients cannot afford to fill their prescriptions."|"Sat Feb 13 17:21:40 +0000 2016"
"698547504594325504"|"RT @coloradodems: If you can't join us at the #CODemDinner tonight with @HillaryClinton and @BernieSanders tune in live! https://t.co/QhKyo…"|"Sat Feb 13 16:41:18 +0000 2016"
"698546464172220416"|"RT @KatrinaNation: Lawrence Korb/ How Bernie Sanders Is a Realist &amp; More Serious on Foreign Policy Than You Think https://t.co/N5XeqMbCxc"|"Sat Feb 13 16:37:10 +0000 2016"
"698527487005839360"|"RT @PeaceAction:  5 Top Reasons Why Bernie Sanders Would Be Best President for #Peace  @commondreams https://t.co/iNndBuq2cv https://t.co/R…"|"Sat Feb 13 15:21:45 +0000 2016"
"698519713421332484"|"I don’t believe it is a terribly radical idea to say that someone who works 40 hours a week should not be living in poverty."|"Sat Feb 13 14:50:52 +0000 2016"
"698332764504879104"|"We need to make it affordable for all Americans so that we can compete on the world stage. https://t.co/o9bZnL4Hxn"|"Sat Feb 13 02:28:00 +0000 2016"
"698329172087799809"|"Under President Obama and Vice President Biden, this country has come a long way economically. https://t.co/yQnZ31pRFf"|"Sat Feb 13 02:13:43 +0000 2016"
"698326672664170497"|"RT @dhmontgomery: Sanders:  progressives and Democrats win when voter turnout is high. Our job is to create a high voter turnout.  "|"Sat Feb 13 02:03:47 +0000 2016"
"698326585108074496"|"RT @dhmontgomery: Sanders:  I want to thank the Democrats of Minnesota for making sure that Paul's work and more importantly his vision is …"|"Sat Feb 13 02:03:26 +0000 2016"
"698290769279356930"|"It's unacceptable that millions of college graduates can't afford to buy their first home or car because of outrageously high student debt."|"Fri Feb 12 23:41:07 +0000 2016"
"698281801383415808"|"The African-American community lost half of their wealth as a result of the Wall Street collapse. 
https://t.co/mhq9j23QtE"|"Fri Feb 12 23:05:29 +0000 2016"
"698255716331589632"|"It's irresponsible that my opponent justifies sending children back to terribly violent countries as a way to  send a message. "|"Fri Feb 12 21:21:50 +0000 2016"
"698205439222112256"|"Raids are not the answer. We cannot continue to employ inhumane tactics involving rounding up and deporting thousands of immigrant families."|"Fri Feb 12 18:02:03 +0000 2016"
"698187671437500420"|"I've put forward an immigration plan that protects children and keeps families together. It is time for @HillaryClinton to do the same."|"Fri Feb 12 16:51:27 +0000 2016"
"698185183879634944"|"Sanders Campaign Statement on Clinton’s Immigration Comments https://t.co/QG9cssCcKH"|"Fri Feb 12 16:41:34 +0000 2016"
"698181403570216961"|"RT @UniNoticias: .@BernieSanders critica el programa migratorio que otorga poderes especiales a las policías locales. https://t.co/3D7LEGaw…"|"Fri Feb 12 16:26:32 +0000 2016"
"698180539992317952"|"We need immigration reforms that make sure corporate America can't exploit vulnerable migrant workers."|"Fri Feb 12 16:23:06 +0000 2016"
"698159000718876672"|"I am running for president because 11 million undocumented people cannot continue living in the shadows."|"Fri Feb 12 14:57:31 +0000 2016"
"697998458452627456"|"RT @UniPolitica: .@BernieSanders rechazó las recientes redadas de deportación en el #DemDebate. https://t.co/pNJdflzRh8"|"Fri Feb 12 04:19:35 +0000 2016"
"697995764161769472"|"RT @MoveOn: Musical legend @harrybelafonte endorses @BernieSanders! WATCH: https://t.co/LfJ1hnwV84 #FeelTheBern #NotMeUs https://t.co/Vrnjm…"|"Fri Feb 12 04:08:52 +0000 2016"
"697988970295250944"|"RT @AaronBlake: Clinton:  Obama admin...did not meet with anybody without conditions.  WH said in '09 it would meet Iran w/out them. https:…"|"Fri Feb 12 03:41:53 +0000 2016"
"697987030110900226"|"RT @ABCPolitics: .@BernieSanders criticizes @HillaryClinton for her closeness with former Sec. of State Henry Kissinger. #DemDebate https:/…"|"Fri Feb 12 03:34:10 +0000 2016"
"697985937788309504"|" I am proud to say that Henry Kissinger is not my friend, and I will not take advice from him on foreign policy.  #DemDebate"|"Fri Feb 12 03:29:50 +0000 2016"
"697983853579890688"|"We need to reduce wasteful spending at the Department of Defense, which is the one major agency that has refused an audit. #DemDebate"|"Fri Feb 12 03:21:33 +0000 2016"
"697983337520984064"|"The decision to have an abortion is a right of any woman without interference from politicians. #DemDebate
https://t.co/IT9Uge7xud"|"Fri Feb 12 03:19:30 +0000 2016"
"697980264648220672"|"A people-powered campaign:
✅ 3.7M contributions
✅ More than 1M donors
✅ Average contribution &lt; $30
 https://t.co/m6S1VVcZRj #DemDebate"|"Fri Feb 12 03:07:17 +0000 2016"
"697979167976112128"|"About 85 percent of @HillaryClinton's campaign money has come from large donors. #DemDebate"|"Fri Feb 12 03:02:56 +0000 2016"
"697977595946786816"|"RT @aseitzwald: I went to look up that SPLC report Sanders mentioned from 2007...  https://t.co/4NpFP25xWF https://t.co/RcpN2eEOaD"|"Fri Feb 12 02:56:41 +0000 2016"
"697977045914120192"|"We don’t use children to “send a message. "|"Fri Feb 12 02:54:30 +0000 2016"
